file,mode,slide,field,camera,spectral,dx,dy,rotation_deg,scale_x,scale_y,shear_deg,score,m00,m01,m02,m10,m11,m12,m20,m21,m22
batch_affine_results/blue/slide-19_field-1/best_affine.txt,blue,19,1,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-1_camera-DAPI.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-19_field-1_spectral-blue.nd2,-25.1271,1.8933,-2.605255,1.033771,0.984572,1.74101,3264042496.0,1.0327028,0.07614307,-52.99167362,-0.04698968,0.98212563,18.4985001,0.0,0.0,1.0
batch_affine_results/blue/slide-19_field-2/best_affine.txt,blue,19,2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-2_camera-DAPI.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-19_field-2_spectral-blue.nd2,-28.4465,0.565,-2.599659,1.031725,0.979452,0.273365,5420845568.0,1.03066298,0.04934251,-48.92788318,-0.04679599,0.97822106,18.12014735,0.0,0.0,1.0
batch_affine_results/blue/slide-19_field-3/best_affine.txt,blue,19,3,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-3_camera-DAPI.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-19_field-3_spectral-blue.nd2,-23.5829,-1.3283,-2.688192,1.01238,0.996192,-1.549382,4110828544.0,1.01126618,0.01936882,-31.42546277,-0.04748123,0.99637963,11.75369565,0.0,0.0,1.0
batch_affine_results/blue/slide-19_field-4/best_affine.txt,blue,19,4,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-4_camera-DAPI.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-19_field-4_spectral-blue.nd2,-25.6538,2.5938,-2.399216,1.025639,0.983703,-0.505919,4263030528.0,1.0247399,0.03213111,-40.21277122,-0.04293528,0.98321943,17.88106495,0.0,0.0,1.0
batch_affine_results/blue/slide-19_field-5/best_affine.txt,blue,19,5,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-5_camera-DAPI.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-19_field-5_spectral-blue.nd2,-23.5289,-0.127,-1.166404,1.028671,1.026355,-0.676778,5456066560.0,1.02845785,0.00874397,-33.05258036,-0.02093982,1.02638985,-1.52218848,0.0,0.0,1.0
batch_affine_results/blue/slide-19_field-6/best_affine.txt,blue,19,6,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-6_camera-DAPI.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-19_field-6_spectral-blue.nd2,-23.7765,0.7854,-2.999622,1.016011,1.001728,0.082948,5239754240.0,1.01461882,0.05388871,-41.31444504,-0.05316721,1.00027895,14.32484029,0.0,0.0,1.0
batch_affine_results/blue/slide-21_field-14/best_affine.txt,blue,21,14,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-21_field-14_camera-DAPI.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-21_field-14_spectral-blue.nd2,-24.3413,0.9319,-2.529371,1.023894,0.980904,-1.466973,3134670080.0,1.02289651,0.0170933,-34.57873035,-0.045186,0.98110524,17.33659641,0.0,0.0,1.0
batch_affine_results/blue/slide-9_field-6/best_affine.txt,blue,9,6,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-9_field-6_camera-DAPI.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-9_field-6_spectral-blue.nd2,-29.0862,-13.595,-2.501059,1.028573,1.032118,-0.262237,2934162432.0,1.02759336,0.04033619,-46.47621377,-0.04488472,1.03134019,-10.12762785,0.0,0.0,1.0
batch_affine_results/blue/slide-9_field-9/best_affine.txt,blue,9,9,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-9_field-9_camera-DAPI.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-9_field-9_spectral-blue.nd2,-37.9799,2.509,-2.026471,1.155754,1.014679,3.83032,4140709376.0,1.15503087,0.11321128,-106.64984879,-0.04086885,1.01130809,10.07650918,0.0,0.0,1.0
batch_affine_results/green/slide-19_field-1/best_affine.txt,green,19,1,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-1_camera-FITC.nd2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-1_spectral-green.nd2,-19.9911,2.37,-2.535789,1.010427,0.977857,0.472238,2913406720.0,1.00943745,0.05158381,-35.6125294,-0.04470475,0.97653089,19.82251589,0.0,0.0,1.0
batch_affine_results/green/slide-19_field-2/best_affine.txt,green,19,2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-2_camera-FITC.nd2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-2_spectral-green.nd2,-21.6526,3.2794,-2.619523,1.015992,0.978647,0.031073,6180107264.0,1.01492984,0.04527792,-37.06577847,-0.04643424,0.97759951,20.90113409,0.0,0.0,1.0
batch_affine_results/green/slide-19_field-3/best_affine.txt,green,19,3,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-3_camera-FITC.nd2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-3_spectral-green.nd2,-20.8941,2.3856,-2.87062,1.006969,0.982915,-0.07085,3950256640.0,1.0057057,0.04798156,-34.63800963,-0.05042985,0.98174375,19.96927545,0.0,0.0,1.0
batch_affine_results/green/slide-19_field-4/best_affine.txt,green,19,4,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-4_camera-FITC.nd2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-4_spectral-green.nd2,-20.8358,2.8562,-2.478108,1.004118,0.984121,-0.157591,5067566592.0,1.00317938,0.03979186,-31.83639253,-0.04341573,0.98332003,18.24073,0.0,0.0,1.0
batch_affine_results/green/slide-19_field-5/best_affine.txt,green,19,5,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-5_camera-FITC.nd2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-5_spectral-green.nd2,-20.6528,2.3113,-2.561053,1.008517,0.992263,-0.192902,5208994304.0,1.00750991,0.04094613,-33.0575016,-0.04506451,0.99142357,16.04342205,0.0,0.0,1.0
batch_affine_results/green/slide-19_field-6/best_affine.txt,green,19,6,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-6_camera-FITC.nd2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-6_spectral-green.nd2,-20.694,3.4847,-2.289615,1.01055,0.981611,2.4e-05,5176591872.0,1.00974302,0.03921646,-33.22762899,-0.04037216,0.98082734,18.72821167,0.0,0.0,1.0
batch_affine_results/green/slide-21_field-14/best_affine.txt,green,21,14,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-21_field-14_camera-FITC.nd2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-21_field-14_spectral-green.nd2,-20.4413,4.1288,-2.390196,1.00996,0.984309,0.326024,4801061376.0,1.00908114,0.04679225,-34.74493815,-0.04212006,0.98321341,19.20890993,0.0,0.0,1.0
batch_affine_results/red/slide-19_field-1/best_affine.txt,red,19,1,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-1_camera-TRITC.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-19_field-1_spectral-red.nd2,-15.6213,-1.5166,-2.512705,1.009358,0.982045,-0.241584,3955096064.0,1.00838734,0.03880191,-27.70171253,-0.04425118,0.98128688,14.60225624,0.0,0.0,1.0
batch_affine_results/red/slide-19_field-2/best_affine.txt,red,19,2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-2_camera-TRITC.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-19_field-2_spectral-red.nd2,-16.6634,-0.6096,-2.429689,1.007552,0.980153,0.043494,5956749824.0,1.0066459,0.04231613,-29.19770094,-0.0427135,0.97923938,15.63977249,0.0,0.0,1.0
batch_affine_results/red/slide-19_field-3/best_affine.txt,red,19,3,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-3_camera-TRITC.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-19_field-3_spectral-red.nd2,-16.8124,-2.7477,-2.542158,1.010806,0.986572,-0.015512,4115348992.0,1.00981093,0.04348551,-30.45628469,-0.04483375,0.98561362,12.41261229,0.0,0.0,1.0
batch_affine_results/red/slide-19_field-4/best_affine.txt,red,19,4,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-4_camera-TRITC.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-19_field-4_spectral-red.nd2,-16.1112,-1.946,-2.372653,1.003391,0.986006,-0.002473,4936208896.0,1.00253033,0.04077619,-27.19768177,-0.04153914,0.98516291,12.48627552,0.0,0.0,1.0
batch_affine_results/red/slide-19_field-5/best_affine.txt,red,19,5,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-5_camera-TRITC.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-19_field-5_spectral-red.nd2,-17.6705,-1.5409,-2.448458,1.013662,0.98315,-0.288481,4652804608.0,1.01273661,0.03690168,-30.37790319,-0.04330431,0.98247002,14.03263722,0.0,0.0,1.0
batch_affine_results/red/slide-19_field-6/best_affine.txt,red,19,6,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-6_camera-TRITC.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-19_field-6_spectral-red.nd2,-18.6065,-1.7072,-2.247903,1.025904,0.983679,1.154946,6036104192.0,1.02511469,0.05924975,-40.20378539,-0.04023929,0.98211073,13.17366743,0.0,0.0,1.0
batch_affine_results/red/slide-21_field-14/best_affine.txt,red,21,14,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-21_field-14_camera-TRITC.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-21_field-14_spectral-red.nd2,-16.2789,-0.3509,-2.549162,1.009645,0.982371,0.160057,5565651968.0,1.00864634,0.0465102,-30.39901061,-0.04490559,0.98127327,15.93892732,0.0,0.0,1.0
batch_affine_results/yellow/slide-19_field-1/best_affine.txt,yellow,19,1,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-1_camera-YFP.nd2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-1_spectral-yellow.nd2,-25.9257,5.3207,-2.426702,1.007849,0.988289,0.24975,3561590016.0,1.00694514,0.04623469,-39.53972973,-0.04267361,0.98721704,19.51761174,0.0,0.0,1.0
batch_affine_results/yellow/slide-19_field-2/best_affine.txt,yellow,19,2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-2_camera-YFP.nd2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-2_spectral-yellow.nd2,-26.9182,5.1021,-1.669919,1.018924,0.986373,1.712809,5934719488.0,1.01849129,0.05920037,-46.80730832,-0.02969294,0.98506624,16.52654954,0.0,0.0,1.0
batch_affine_results/yellow/slide-19_field-3/best_affine.txt,yellow,19,3,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-3_camera-YFP.nd2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-3_spectral-yellow.nd2,-27.5416,5.3438,-2.319125,1.018561,0.983942,0.483391,4308136960.0,1.01772656,0.04840205,-44.47054709,-0.04121638,0.9827888,20.3012603,0.0,0.0,1.0
batch_affine_results/yellow/slide-19_field-4/best_affine.txt,yellow,19,4,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-4_camera-YFP.nd2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-4_spectral-yellow.nd2,-26.4478,6.5142,-2.345353,1.007351,0.98541,0.070955,5435029504.0,1.00650717,0.0415721,-38.75612211,-0.04122352,0.98453382,21.02677654,0.0,0.0,1.0
batch_affine_results/yellow/slide-19_field-5/best_affine.txt,yellow,19,5,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-5_camera-YFP.nd2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-5_spectral-yellow.nd2,-27.8904,5.4969,-2.732226,1.010399,0.979442,-1.370943,5475744256.0,1.00925024,0.02253489,-36.02741429,-0.04816397,0.97948095,23.07978341,0.0,0.0,1.0
batch_affine_results/yellow/slide-19_field-6/best_affine.txt,yellow,19,6,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-6_camera-YFP.nd2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-6_spectral-yellow.nd2,-26.6402,6.3101,-2.483913,1.017808,0.984138,-0.021182,6118095872.0,1.0168514,0.04227551,-41.77673682,-0.04411065,0.98322927,21.89570558,0.0,0.0,1.0
batch_affine_results/yellow/slide-21_field-14/best_affine.txt,yellow,21,14,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-21_field-14_camera-YFP.nd2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-21_field-14_spectral-yellow.nd2,-26.5506,6.6939,-2.307426,1.006957,0.984889,0.137751,5692374016.0,1.00614101,0.04207188,-38.89312132,-0.04054141,0.983993,21.17030779,0.0,0.0,1.0
